Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,040913,2021,01,01,29.4,1,N
IDCJAC0010,040913,2021,01,02,29.9,1,N
IDCJAC0010,040913,2021,01,03,30.1,1,N
IDCJAC0010,040913,2021,01,04,30.2,1,N
IDCJAC0010,040913,2021,01,05,32.8,1,N
IDCJAC0010,040913,2021,01,06,33.3,1,N
IDCJAC0010,040913,2021,01,07,28.2,1,N
IDCJAC0010,040913,2021,01,08,23.7,1,N
IDCJAC0010,040913,2021,01,09,26.9,1,N
IDCJAC0010,040913,2021,01,10,27.8,1,N
IDCJAC0010,040913,2021,01,11,28.5,1,N
IDCJAC0010,040913,2021,01,12,30.3,1,N
IDCJAC0010,040913,2021,01,13,30.8,1,N
IDCJAC0010,040913,2021,01,14,30.7,1,N
IDCJAC0010,040913,2021,01,15,31.9,1,N
IDCJAC0010,040913,2021,01,16,35.3,1,N
IDCJAC0010,040913,2021,01,17,29.5,1,N
IDCJAC0010,040913,2021,01,18,30.1,1,N
IDCJAC0010,040913,2021,01,19,32.1,1,N
IDCJAC0010,040913,2021,01,20,27.6,1,N
IDCJAC0010,040913,2021,01,21,27.4,1,N
IDCJAC0010,040913,2021,01,22,29.2,1,N
IDCJAC0010,040913,2021,01,23,29.3,1,N
IDCJAC0010,040913,2021,01,24,30.1,1,N
IDCJAC0010,040913,2021,01,25,28.9,1,N
IDCJAC0010,040913,2021,01,26,30.6,1,N
IDCJAC0010,040913,2021,01,27,31.4,1,N
IDCJAC0010,040913,2021,01,28,30.6,1,N
IDCJAC0010,040913,2021,01,29,30.4,1,N
IDCJAC0010,040913,2021,01,30,30.2,1,N
IDCJAC0010,040913,2021,01,31,30.4,1,N
IDCJAC0010,040913,2021,02,01,29.7,1,Y
IDCJAC0010,040913,2021,02,02,25.7,1,Y
IDCJAC0010,040913,2021,02,03,29.1,1,Y
IDCJAC0010,040913,2021,02,04,30.0,1,Y
IDCJAC0010,040913,2021,02,05,29.7,1,Y
IDCJAC0010,040913,2021,02,06,31.1,1,Y
IDCJAC0010,040913,2021,02,07,35.2,1,Y
IDCJAC0010,040913,2021,02,08,29.6,1,Y
IDCJAC0010,040913,2021,02,09,29.1,1,Y
IDCJAC0010,040913,2021,02,10,28.5,1,Y
IDCJAC0010,040913,2021,02,11,27.6,1,Y
IDCJAC0010,040913,2021,02,12,30.1,1,Y
IDCJAC0010,040913,2021,02,13,30.7,1,Y
IDCJAC0010,040913,2021,02,14,30.2,1,Y
IDCJAC0010,040913,2021,02,15,29.2,1,Y
IDCJAC0010,040913,2021,02,16,28.9,1,Y
IDCJAC0010,040913,2021,02,17,28.6,1,Y
IDCJAC0010,040913,2021,02,18,27.4,1,Y
IDCJAC0010,040913,2021,02,19,29.0,1,Y
IDCJAC0010,040913,2021,02,20,29.6,1,Y
IDCJAC0010,040913,2021,02,21,33.7,1,Y
IDCJAC0010,040913,2021,02,22,33.6,1,Y
IDCJAC0010,040913,2021,02,23,32.1,1,Y
IDCJAC0010,040913,2021,02,24,29.8,1,Y
IDCJAC0010,040913,2021,02,25,28.7,1,Y
IDCJAC0010,040913,2021,02,26,31.8,1,Y
IDCJAC0010,040913,2021,02,27,30.8,1,Y
IDCJAC0010,040913,2021,02,28,31.4,1,Y
IDCJAC0010,040913,2021,03,01,29.6,1,Y
IDCJAC0010,040913,2021,03,02,33.2,1,Y
IDCJAC0010,040913,2021,03,03,26.5,1,Y
IDCJAC0010,040913,2021,03,04,26.7,1,Y
IDCJAC0010,040913,2021,03,05,30.8,1,Y
IDCJAC0010,040913,2021,03,06,28.5,1,Y
IDCJAC0010,040913,2021,03,07,28.4,1,Y
IDCJAC0010,040913,2021,03,08,29.6,1,Y
IDCJAC0010,040913,2021,03,09,30.4,1,Y
IDCJAC0010,040913,2021,03,10,30.6,1,Y
IDCJAC0010,040913,2021,03,11,28.5,1,Y
IDCJAC0010,040913,2021,03,12,28.0,1,Y
IDCJAC0010,040913,2021,03,13,29.4,1,Y
IDCJAC0010,040913,2021,03,14,30.8,1,Y
IDCJAC0010,040913,2021,03,15,23.0,1,Y
IDCJAC0010,040913,2021,03,16,25.4,1,Y
IDCJAC0010,040913,2021,03,17,22.3,1,Y
IDCJAC0010,040913,2021,03,18,27.8,1,Y
IDCJAC0010,040913,2021,03,19,28.7,1,Y
IDCJAC0010,040913,2021,03,20,28.6,1,Y
IDCJAC0010,040913,2021,03,21,28.5,1,Y
IDCJAC0010,040913,2021,03,22,23.2,1,Y
IDCJAC0010,040913,2021,03,23,27.8,1,Y
IDCJAC0010,040913,2021,03,24,30.9,1,Y
