Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,094029,2020,04,09,20.3,1,Y
IDCJAC0010,094029,2020,04,10,21.2,1,Y
IDCJAC0010,094029,2020,04,11,14.2,1,Y
IDCJAC0010,094029,2020,04,12,16.2,1,Y
IDCJAC0010,094029,2020,04,13,15.4,1,Y
IDCJAC0010,094029,2020,04,14,21.5,1,Y
IDCJAC0010,094029,2020,04,15,16.7,1,Y
IDCJAC0010,094029,2020,04,16,18.2,1,Y
IDCJAC0010,094029,2020,04,17,14.0,1,Y
IDCJAC0010,094029,2020,04,18,14.6,1,Y
IDCJAC0010,094029,2020,04,19,13.0,1,Y
IDCJAC0010,094029,2020,04,20,17.6,1,Y
IDCJAC0010,094029,2020,04,21,17.7,1,Y
IDCJAC0010,094029,2020,04,22,16.2,1,Y
IDCJAC0010,094029,2020,04,23,18.3,1,Y
IDCJAC0010,094029,2020,04,24,17.3,1,Y
IDCJAC0010,094029,2020,04,25,18.4,1,Y
IDCJAC0010,094029,2020,04,26,16.4,1,Y
IDCJAC0010,094029,2020,04,27,19.0,1,Y
IDCJAC0010,094029,2020,04,28,20.3,1,Y
IDCJAC0010,094029,2020,04,29,21.5,1,Y
IDCJAC0010,094029,2020,04,30,15.7,1,Y
IDCJAC0010,094029,2020,05,01,15.0,1,Y
IDCJAC0010,094029,2020,05,02,15.0,1,Y
IDCJAC0010,094029,2020,05,03,12.9,1,Y
IDCJAC0010,094029,2020,05,04,16.0,1,Y
IDCJAC0010,094029,2020,05,05,17.3,1,Y
IDCJAC0010,094029,2020,05,06,15.9,1,Y
IDCJAC0010,094029,2020,05,07,18.7,1,Y
IDCJAC0010,094029,2020,05,08,18.1,1,Y
IDCJAC0010,094029,2020,05,09,12.8,1,Y
IDCJAC0010,094029,2020,05,10,13.1,1,Y
IDCJAC0010,094029,2020,05,11,15.3,1,Y
IDCJAC0010,094029,2020,05,12,18.5,1,Y
IDCJAC0010,094029,2020,05,13,12.7,1,Y
IDCJAC0010,094029,2020,05,14,16.9,1,Y
IDCJAC0010,094029,2020,05,15,17.0,1,Y
IDCJAC0010,094029,2020,05,16,16.9,1,Y
IDCJAC0010,094029,2020,05,17,15.9,1,Y
IDCJAC0010,094029,2020,05,18,17.1,1,Y
IDCJAC0010,094029,2020,05,19,17.1,1,Y
IDCJAC0010,094029,2020,05,20,16.0,1,Y
IDCJAC0010,094029,2020,05,21,14.8,1,Y
IDCJAC0010,094029,2020,05,22,13.3,1,Y
IDCJAC0010,094029,2020,05,23,12.9,1,Y
IDCJAC0010,094029,2020,05,24,11.4,1,Y
IDCJAC0010,094029,2020,05,25,11.2,1,Y
IDCJAC0010,094029,2020,05,26,12.4,1,Y
IDCJAC0010,094029,2020,05,27,15.1,1,Y
IDCJAC0010,094029,2020,05,28,17.9,1,Y
IDCJAC0010,094029,2020,05,29,18.9,1,Y
IDCJAC0010,094029,2020,05,30,17.6,1,Y
IDCJAC0010,094029,2020,05,31,15.6,1,Y
IDCJAC0010,094029,2020,06,01,16.9,1,Y
IDCJAC0010,094029,2020,06,02,15.3,1,Y
IDCJAC0010,094029,2020,06,03,11.8,1,Y
IDCJAC0010,094029,2020,06,04,13.7,1,Y
IDCJAC0010,094029,2020,06,05,14.2,1,Y
IDCJAC0010,094029,2020,06,06,10.8,1,Y
IDCJAC0010,094029,2020,06,07,12.3,1,Y
IDCJAC0010,094029,2020,06,08,13.8,1,Y
IDCJAC0010,094029,2020,06,09,14.0,1,Y
IDCJAC0010,094029,2020,06,10,13.9,1,Y
IDCJAC0010,094029,2020,06,11,11.5,1,Y
IDCJAC0010,094029,2020,06,12,10.2,1,Y
IDCJAC0010,094029,2020,06,13,12.5,1,Y
IDCJAC0010,094029,2020,06,14,15.0,1,Y
IDCJAC0010,094029,2020,06,15,15.9,1,Y
IDCJAC0010,094029,2020,06,16,15.2,1,Y
IDCJAC0010,094029,2020,06,17,12.0,1,Y
IDCJAC0010,094029,2020,06,18,8.7,1,Y
IDCJAC0010,094029,2020,06,19,9.9,1,Y
IDCJAC0010,094029,2020,06,20,13.1,1,Y
IDCJAC0010,094029,2020,06,21,13.1,1,Y
IDCJAC0010,094029,2020,06,22,12.9,1,Y
IDCJAC0010,094029,2020,06,23,11.9,1,Y
IDCJAC0010,094029,2020,06,24,12.4,1,Y
IDCJAC0010,094029,2020,06,25,15.0,1,Y
IDCJAC0010,094029,2020,06,26,10.4,1,Y
IDCJAC0010,094029,2020,06,27,12.3,1,Y
IDCJAC0010,094029,2020,06,28,10.8,1,Y
IDCJAC0010,094029,2020,06,29,12.9,1,Y
IDCJAC0010,094029,2020,06,30,11.6,1,Y
IDCJAC0010,094029,2020,07,01,13.8,1,Y
IDCJAC0010,094029,2020,07,02,12.9,1,Y
IDCJAC0010,094029,2020,07,03,10.0,1,Y
IDCJAC0010,094029,2020,07,04,13.0,1,Y
IDCJAC0010,094029,2020,07,05,15.3,1,Y
IDCJAC0010,094029,2020,07,06,13.2,1,Y
IDCJAC0010,094029,2020,07,07,10.0,1,Y
IDCJAC0010,094029,2020,07,08,10.1,1,Y
IDCJAC0010,094029,2020,07,09,12.5,1,Y
IDCJAC0010,094029,2020,07,10,8.6,1,Y
IDCJAC0010,094029,2020,07,11,8.8,1,Y
IDCJAC0010,094029,2020,07,12,10.9,1,Y
IDCJAC0010,094029,2020,07,13,12.6,1,Y
IDCJAC0010,094029,2020,07,14,10.7,1,Y
IDCJAC0010,094029,2020,07,15,12.0,1,Y
IDCJAC0010,094029,2020,07,16,12.0,1,Y
IDCJAC0010,094029,2020,07,17,12.0,1,Y
IDCJAC0010,094029,2020,07,18,9.7,1,Y
IDCJAC0010,094029,2020,07,19,15.4,1,Y
IDCJAC0010,094029,2020,07,20,10.1,1,Y
IDCJAC0010,094029,2020,07,21,13.8,1,Y
IDCJAC0010,094029,2020,07,22,13.3,1,Y
IDCJAC0010,094029,2020,07,23,13.5,1,Y
IDCJAC0010,094029,2020,07,24,13.1,1,Y
IDCJAC0010,094029,2020,07,25,13.8,1,Y
IDCJAC0010,094029,2020,07,26,14.5,1,Y
IDCJAC0010,094029,2020,07,27,12.4,1,Y
IDCJAC0010,094029,2020,07,28,14.0,1,Y
IDCJAC0010,094029,2020,07,29,14.8,1,Y
IDCJAC0010,094029,2020,07,30,14.0,1,Y
IDCJAC0010,094029,2020,07,31,15.6,1,Y
IDCJAC0010,094029,2020,08,01,18.4,1,Y
IDCJAC0010,094029,2020,08,02,14.7,1,Y
IDCJAC0010,094029,2020,08,03,10.9,1,Y
IDCJAC0010,094029,2020,08,04,9.1,1,Y
IDCJAC0010,094029,2020,08,05,8.8,1,Y
IDCJAC0010,094029,2020,08,06,12.8,1,Y
IDCJAC0010,094029,2020,08,07,10.8,1,Y
IDCJAC0010,094029,2020,08,08,12.8,1,Y
IDCJAC0010,094029,2020,08,09,10.8,1,Y
IDCJAC0010,094029,2020,08,10,13.4,1,Y
IDCJAC0010,094029,2020,08,11,11.2,1,Y
IDCJAC0010,094029,2020,08,12,12.1,1,Y
IDCJAC0010,094029,2020,08,13,13.1,1,Y
IDCJAC0010,094029,2020,08,14,15.5,1,Y
IDCJAC0010,094029,2020,08,15,13.9,1,Y
IDCJAC0010,094029,2020,08,16,13.9,1,Y
IDCJAC0010,094029,2020,08,17,14.8,1,Y
IDCJAC0010,094029,2020,08,18,14.6,1,Y
IDCJAC0010,094029,2020,08,19,14.7,1,Y
IDCJAC0010,094029,2020,08,20,14.2,1,Y
IDCJAC0010,094029,2020,08,21,10.8,1,Y
