Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,015590,2021,01,01,36.8,1,Y
IDCJAC0010,015590,2021,01,02,39.0,1,Y
IDCJAC0010,015590,2021,01,03,35.9,1,Y
IDCJAC0010,015590,2021,01,04,32.5,1,Y
IDCJAC0010,015590,2021,01,05,24.7,1,Y
IDCJAC0010,015590,2021,01,06,30.4,1,Y
IDCJAC0010,015590,2021,01,07,31.6,1,Y
IDCJAC0010,015590,2021,01,08,33.4,1,Y
IDCJAC0010,015590,2021,01,09,35.0,1,Y
IDCJAC0010,015590,2021,01,10,35.3,1,Y
IDCJAC0010,015590,2021,01,11,36.6,1,Y
IDCJAC0010,015590,2021,01,12,37.9,1,Y
IDCJAC0010,015590,2021,01,13,39.2,1,Y
IDCJAC0010,015590,2021,01,14,41.0,1,Y
IDCJAC0010,015590,2021,01,15,36.2,1,Y
IDCJAC0010,015590,2021,01,16,31.2,1,Y
IDCJAC0010,015590,2021,01,17,28.6,1,Y
IDCJAC0010,015590,2021,01,18,32.5,1,Y
IDCJAC0010,015590,2021,01,19,34.5,1,Y
IDCJAC0010,015590,2021,01,20,37.3,1,Y
IDCJAC0010,015590,2021,01,21,39.7,1,Y
IDCJAC0010,015590,2021,01,22,39.4,1,Y
IDCJAC0010,015590,2021,01,23,38.3,1,Y
IDCJAC0010,015590,2021,01,24,33.8,1,Y
IDCJAC0010,015590,2021,01,25,38.2,1,Y
IDCJAC0010,015590,2021,01,26,39.3,1,Y
IDCJAC0010,015590,2021,01,27,36.3,1,Y
IDCJAC0010,015590,2021,01,28,35.3,1,Y
IDCJAC0010,015590,2021,01,29,36.9,1,Y
IDCJAC0010,015590,2021,01,30,37.4,1,Y
IDCJAC0010,015590,2021,01,31,38.0,1,Y
IDCJAC0010,015590,2021,02,01,38.6,1,N
IDCJAC0010,015590,2021,02,02,36.2,1,N
IDCJAC0010,015590,2021,02,03,36.4,1,N
IDCJAC0010,015590,2021,02,04,38.3,1,N
IDCJAC0010,015590,2021,02,05,28.7,1,N
IDCJAC0010,015590,2021,02,06,33.2,1,N
IDCJAC0010,015590,2021,02,07,34.1,1,Y
IDCJAC0010,015590,2021,02,08,37.4,1,N
IDCJAC0010,015590,2021,02,09,37.8,1,N
IDCJAC0010,015590,2021,02,10,39.2,1,N
IDCJAC0010,015590,2021,02,11,38.5,1,N
IDCJAC0010,015590,2021,02,12,39.1,1,N
IDCJAC0010,015590,2021,02,13,24.7,1,N
IDCJAC0010,015590,2021,02,14,33.3,1,N
IDCJAC0010,015590,2021,02,15,34.1,1,N
IDCJAC0010,015590,2021,02,16,36.3,1,N
IDCJAC0010,015590,2021,02,17,38.4,1,N
IDCJAC0010,015590,2021,02,18,38.5,1,N
IDCJAC0010,015590,2021,02,19,37.5,1,N
IDCJAC0010,015590,2021,02,20,39.5,1,N
IDCJAC0010,015590,2021,02,21,40.6,1,N
IDCJAC0010,015590,2021,02,22,37.2,1,N
IDCJAC0010,015590,2021,02,23,32.7,1,N
IDCJAC0010,015590,2021,02,24,32.0,1,N
IDCJAC0010,015590,2021,02,25,31.9,1,N
IDCJAC0010,015590,2021,02,26,32.9,1,N
IDCJAC0010,015590,2021,02,27,36.3,1,N
IDCJAC0010,015590,2021,02,28,38.6,1,N
IDCJAC0010,015590,2021,03,01,39.6,1,N
IDCJAC0010,015590,2021,03,02,40.7,1,N
IDCJAC0010,015590,2021,03,03,40.8,1,N
IDCJAC0010,015590,2021,03,04,38.3,1,N
IDCJAC0010,015590,2021,03,05,36.6,1,N
IDCJAC0010,015590,2021,03,06,37.3,1,N
IDCJAC0010,015590,2021,03,07,37.8,1,N
IDCJAC0010,015590,2021,03,08,37.1,1,N
IDCJAC0010,015590,2021,03,09,37.5,1,N
IDCJAC0010,015590,2021,03,10,37.3,1,N
IDCJAC0010,015590,2021,03,11,34.2,1,N
IDCJAC0010,015590,2021,03,12,36.5,1,N
IDCJAC0010,015590,2021,03,13,24.6,1,N
IDCJAC0010,015590,2021,03,14,16.3,1,N
IDCJAC0010,015590,2021,03,15,22.9,1,N
IDCJAC0010,015590,2021,03,16,25.8,1,N
IDCJAC0010,015590,2021,03,17,28.1,1,N
IDCJAC0010,015590,2021,03,18,30.2,1,N
IDCJAC0010,015590,2021,03,19,28.0,1,N
IDCJAC0010,015590,2021,03,20,27.1,1,N
IDCJAC0010,015590,2021,03,21,19.5,1,N
IDCJAC0010,015590,2021,03,22,25.6,1,N
IDCJAC0010,015590,2021,03,23,27.6,1,N
IDCJAC0010,015590,2021,03,24,28.4,1,N
IDCJAC0010,015590,2021,03,25,31.0,1,N
IDCJAC0010,015590,2021,03,26,33.5,1,N
IDCJAC0010,015590,2021,03,27,33.1,1,N
IDCJAC0010,015590,2021,03,28,30.8,1,N
IDCJAC0010,015590,2021,03,29,28.8,1,N
IDCJAC0010,015590,2021,03,30,28.8,1,N
IDCJAC0010,015590,2021,03,31,28.8,1,N
IDCJAC0010,015590,2021,04,01,30.4,1,Y
IDCJAC0010,015590,2021,04,02,31.1,1,Y
IDCJAC0010,015590,2021,04,03,30.6,1,Y
IDCJAC0010,015590,2021,04,04,30.3,1,Y
IDCJAC0010,015590,2021,04,05,30.5,1,Y
IDCJAC0010,015590,2021,04,06,31.0,1,Y
IDCJAC0010,015590,2021,04,07,31.0,1,Y
IDCJAC0010,015590,2021,04,08,31.6,1,Y
IDCJAC0010,015590,2021,04,09,33.5,1,Y
IDCJAC0010,015590,2021,04,10,28.8,1,Y
IDCJAC0010,015590,2021,04,11,24.4,1,Y
IDCJAC0010,015590,2021,04,12,25.6,1,Y
IDCJAC0010,015590,2021,04,13,33.2,1,Y
IDCJAC0010,015590,2021,04,14,29.1,1,Y
IDCJAC0010,015590,2021,04,15,27.1,1,Y
IDCJAC0010,015590,2021,04,16,23.7,1,Y
IDCJAC0010,015590,2021,04,17,23.9,1,Y
IDCJAC0010,015590,2021,04,18,23.9,1,Y
IDCJAC0010,015590,2021,04,19,24.3,1,Y
IDCJAC0010,015590,2021,04,20,26.5,1,Y
IDCJAC0010,015590,2021,04,21,27.3,1,Y
IDCJAC0010,015590,2021,04,22,26.3,1,Y
IDCJAC0010,015590,2021,04,23,24.5,1,Y
IDCJAC0010,015590,2021,04,24,25.0,1,Y
IDCJAC0010,015590,2021,04,25,25.3,1,Y
IDCJAC0010,015590,2021,04,26,26.5,1,Y
IDCJAC0010,015590,2021,04,27,26.4,1,Y
IDCJAC0010,015590,2021,04,28,25.2,1,Y
IDCJAC0010,015590,2021,04,29,25.0,1,Y
IDCJAC0010,015590,2021,04,30,28.3,1,Y
IDCJAC0010,015590,2021,05,01,30.8,1,Y
IDCJAC0010,015590,2021,05,02,30.7,1,Y
IDCJAC0010,015590,2021,05,03,30.6,1,Y
IDCJAC0010,015590,2021,05,04,25.4,1,Y
IDCJAC0010,015590,2021,05,05,24.9,1,Y
IDCJAC0010,015590,2021,05,06,26.7,1,Y
