Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,015590,2020,01,01,40.5,1,Y
IDCJAC0010,015590,2020,01,02,42.9,1,Y
IDCJAC0010,015590,2020,01,03,43.0,1,Y
IDCJAC0010,015590,2020,01,04,40.2,1,Y
IDCJAC0010,015590,2020,01,05,30.3,1,Y
IDCJAC0010,015590,2020,01,06,27.1,1,Y
IDCJAC0010,015590,2020,01,07,35.9,1,Y
IDCJAC0010,015590,2020,01,08,40.2,1,Y
IDCJAC0010,015590,2020,01,09,42.6,1,Y
IDCJAC0010,015590,2020,01,10,42.3,1,Y
IDCJAC0010,015590,2020,01,11,34.9,1,Y
IDCJAC0010,015590,2020,01,12,37.1,1,Y
IDCJAC0010,015590,2020,01,13,41.3,1,Y
IDCJAC0010,015590,2020,01,14,42.4,1,Y
IDCJAC0010,015590,2020,01,15,42.7,1,Y
IDCJAC0010,015590,2020,01,16,39.8,1,Y
IDCJAC0010,015590,2020,01,17,38.5,1,Y
IDCJAC0010,015590,2020,01,18,40.0,1,Y
IDCJAC0010,015590,2020,01,19,35.2,1,Y
IDCJAC0010,015590,2020,01,20,36.3,1,Y
IDCJAC0010,015590,2020,01,21,37.6,1,Y
IDCJAC0010,015590,2020,01,22,39.0,1,Y
IDCJAC0010,015590,2020,01,23,40.5,1,Y
IDCJAC0010,015590,2020,01,24,34.5,1,Y
IDCJAC0010,015590,2020,01,25,36.1,1,Y
IDCJAC0010,015590,2020,01,26,38.2,1,Y
IDCJAC0010,015590,2020,01,27,39.0,1,Y
IDCJAC0010,015590,2020,01,28,40.0,1,Y
IDCJAC0010,015590,2020,01,29,32.3,1,Y
IDCJAC0010,015590,2020,01,30,31.6,1,Y
IDCJAC0010,015590,2020,01,31,37.2,1,Y
IDCJAC0010,015590,2020,02,01,33.1,1,Y
IDCJAC0010,015590,2020,02,02,23.0,1,Y
IDCJAC0010,015590,2020,02,03,31.2,1,Y
IDCJAC0010,015590,2020,02,04,30.0,1,Y
IDCJAC0010,015590,2020,02,05,34.5,1,Y
IDCJAC0010,015590,2020,02,06,36.4,1,Y
IDCJAC0010,015590,2020,02,07,38.2,1,Y
IDCJAC0010,015590,2020,02,08,39.1,1,Y
IDCJAC0010,015590,2020,02,09,39.7,1,Y
IDCJAC0010,015590,2020,02,10,40.7,1,Y
IDCJAC0010,015590,2020,02,11,39.7,1,Y
