Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,040913,2020,01,01,29.9,1,N
IDCJAC0010,040913,2020,01,02,30.4,1,N
IDCJAC0010,040913,2020,01,03,30.7,1,N
IDCJAC0010,040913,2020,01,04,31.4,1,N
IDCJAC0010,040913,2020,01,05,31.5,1,N
IDCJAC0010,040913,2020,01,06,30.4,1,N
IDCJAC0010,040913,2020,01,07,,,
IDCJAC0010,040913,2020,01,08,32.1,1,N
IDCJAC0010,040913,2020,01,09,31.8,1,N
IDCJAC0010,040913,2020,01,10,31.8,1,N
IDCJAC0010,040913,2020,01,11,32.0,1,N
IDCJAC0010,040913,2020,01,12,29.4,1,N
IDCJAC0010,040913,2020,01,13,28.8,1,N
IDCJAC0010,040913,2020,01,14,30.1,1,N
IDCJAC0010,040913,2020,01,15,29.1,1,N
IDCJAC0010,040913,2020,01,16,27.4,1,N
IDCJAC0010,040913,2020,01,17,29.6,1,N
IDCJAC0010,040913,2020,01,18,28.1,1,N
IDCJAC0010,040913,2020,01,19,30.3,1,N
IDCJAC0010,040913,2020,01,20,32.4,1,N
IDCJAC0010,040913,2020,01,21,32.8,1,N
IDCJAC0010,040913,2020,01,22,33.5,1,N
IDCJAC0010,040913,2020,01,23,30.7,1,N
IDCJAC0010,040913,2020,01,24,32.1,1,N
IDCJAC0010,040913,2020,01,25,31.5,1,N
IDCJAC0010,040913,2020,01,26,30.0,1,N
IDCJAC0010,040913,2020,01,27,30.4,1,N
IDCJAC0010,040913,2020,01,28,31.2,1,N
IDCJAC0010,040913,2020,01,29,33.4,1,N
IDCJAC0010,040913,2020,01,30,32.1,1,N
IDCJAC0010,040913,2020,01,31,30.7,1,N
IDCJAC0010,040913,2020,02,01,32.2,1,Y
IDCJAC0010,040913,2020,02,02,33.1,1,Y
IDCJAC0010,040913,2020,02,03,34.5,1,Y
IDCJAC0010,040913,2020,02,04,26.7,1,Y
IDCJAC0010,040913,2020,02,05,25.0,1,Y
IDCJAC0010,040913,2020,02,06,25.2,1,Y
IDCJAC0010,040913,2020,02,07,29.1,1,Y
IDCJAC0010,040913,2020,02,08,29.9,1,Y
IDCJAC0010,040913,2020,02,09,27.2,1,Y
IDCJAC0010,040913,2020,02,10,29.3,1,Y
IDCJAC0010,040913,2020,02,11,30.0,1,Y
IDCJAC0010,040913,2020,02,12,25.9,1,Y
IDCJAC0010,040913,2020,02,13,26.6,1,Y
IDCJAC0010,040913,2020,02,14,30.5,1,Y
IDCJAC0010,040913,2020,02,15,31.6,1,Y
IDCJAC0010,040913,2020,02,16,32.2,1,Y
IDCJAC0010,040913,2020,02,17,31.9,1,Y
IDCJAC0010,040913,2020,02,18,32.4,1,Y
IDCJAC0010,040913,2020,02,19,33.8,1,Y
IDCJAC0010,040913,2020,02,20,32.8,1,Y
IDCJAC0010,040913,2020,02,21,30.1,1,Y
IDCJAC0010,040913,2020,02,22,29.4,1,Y
IDCJAC0010,040913,2020,02,23,26.6,1,Y
IDCJAC0010,040913,2020,02,24,28.2,1,Y
IDCJAC0010,040913,2020,02,25,29.2,1,Y
IDCJAC0010,040913,2020,02,26,31.2,1,Y
IDCJAC0010,040913,2020,02,27,29.7,1,Y
IDCJAC0010,040913,2020,02,28,32.0,1,Y
IDCJAC0010,040913,2020,02,29,30.0,1,Y
IDCJAC0010,040913,2020,03,01,31.3,1,Y
IDCJAC0010,040913,2020,03,02,33.4,1,Y
IDCJAC0010,040913,2020,03,03,32.4,1,Y
IDCJAC0010,040913,2020,03,04,29.6,1,Y
IDCJAC0010,040913,2020,03,05,30.5,1,Y
IDCJAC0010,040913,2020,03,06,31.3,1,Y
IDCJAC0010,040913,2020,03,07,32.1,1,Y
IDCJAC0010,040913,2020,03,08,27.8,1,Y
IDCJAC0010,040913,2020,03,09,21.9,1,Y
IDCJAC0010,040913,2020,03,10,25.8,1,Y
IDCJAC0010,040913,2020,03,11,27.6,1,Y
IDCJAC0010,040913,2020,03,12,26.1,1,Y
IDCJAC0010,040913,2020,03,13,26.5,1,Y
IDCJAC0010,040913,2020,03,14,28.2,1,Y
IDCJAC0010,040913,2020,03,15,28.2,1,Y
IDCJAC0010,040913,2020,03,16,28.0,1,Y
IDCJAC0010,040913,2020,03,17,27.0,1,Y
IDCJAC0010,040913,2020,03,18,27.7,1,Y
IDCJAC0010,040913,2020,03,19,28.0,1,Y
IDCJAC0010,040913,2020,03,20,29.5,1,Y
IDCJAC0010,040913,2020,03,21,33.0,1,Y
IDCJAC0010,040913,2020,03,22,31.6,1,Y
IDCJAC0010,040913,2020,03,23,28.2,1,Y
IDCJAC0010,040913,2020,03,24,25.3,1,Y
IDCJAC0010,040913,2020,03,25,27.3,1,Y
IDCJAC0010,040913,2020,03,26,28.5,1,Y
IDCJAC0010,040913,2020,03,27,26.2,1,Y
IDCJAC0010,040913,2020,03,28,28.0,1,Y
IDCJAC0010,040913,2020,03,29,28.4,1,Y
IDCJAC0010,040913,2020,03,30,29.8,1,Y
IDCJAC0010,040913,2020,03,31,30.6,1,Y
IDCJAC0010,040913,2020,04,01,29.6,1,Y
IDCJAC0010,040913,2020,04,02,29.0,1,Y
IDCJAC0010,040913,2020,04,03,29.8,1,Y
IDCJAC0010,040913,2020,04,04,30.4,1,Y
IDCJAC0010,040913,2020,04,05,29.9,1,Y
IDCJAC0010,040913,2020,04,06,29.1,1,Y
IDCJAC0010,040913,2020,04,07,28.9,1,Y
IDCJAC0010,040913,2020,04,08,26.9,1,Y
IDCJAC0010,040913,2020,04,09,26.7,1,Y
IDCJAC0010,040913,2020,04,10,25.8,1,Y
IDCJAC0010,040913,2020,04,11,31.4,1,Y
IDCJAC0010,040913,2020,04,12,28.1,1,Y
IDCJAC0010,040913,2020,04,13,27.0,1,Y
IDCJAC0010,040913,2020,04,14,27.6,1,Y
IDCJAC0010,040913,2020,04,15,27.4,1,Y
IDCJAC0010,040913,2020,04,16,28.5,1,Y
IDCJAC0010,040913,2020,04,17,33.6,1,Y
IDCJAC0010,040913,2020,04,18,28.3,1,Y
IDCJAC0010,040913,2020,04,19,25.3,1,Y
IDCJAC0010,040913,2020,04,20,28.9,1,Y
IDCJAC0010,040913,2020,04,21,28.8,1,Y
IDCJAC0010,040913,2020,04,22,32.3,1,Y
IDCJAC0010,040913,2020,04,23,28.7,1,Y
IDCJAC0010,040913,2020,04,24,29.4,1,Y
IDCJAC0010,040913,2020,04,25,28.7,1,Y
IDCJAC0010,040913,2020,04,26,28.3,1,Y
IDCJAC0010,040913,2020,04,27,28.5,1,Y
IDCJAC0010,040913,2020,04,28,26.0,1,Y
IDCJAC0010,040913,2020,04,29,27.7,1,Y
IDCJAC0010,040913,2020,04,30,29.5,1,Y
IDCJAC0010,040913,2020,05,01,23.2,1,Y
